"Carimbo de data/hora","Qual sua idade?","Qual o seu grau de escolaridade?","Qual seu estado civil?","O quanto te incomoda andar ao lado de pessoas fumando?","Você gosta de conversar com pessoas que conhece há pouco tempo?","Você gosta de andar acompanhado(a) de pessoas com animais de estimação?","Para você, o quão importante é o custo da viagem (considerando os gastos com meios de transporte)?","Para você, o quão importante é o tempo gasto na viagem (considerando caminhada e meios de transporte)?","Para você, o quão importante é o conforto da viagem?","Para você, o quão importante é a segurança da viagem?","Para você, o quão importante é a qualidade visual da viagem?","Com que frequência você utiliza os seguintes meios de transporte? [Trem]","Com que frequência você utiliza os seguintes meios de transporte? [Metrô]","Com que frequência você utiliza os seguintes meios de transporte? [Ônibus]","Com que frequência você utiliza os seguintes meios de transporte? [Caminhada]","Com que frequência você utiliza os seguintes meios de transporte? [Bicicleta]","Com que frequência você sai nos períodos indicados abaixo? [Manhã]","Com que frequência você sai nos períodos indicados abaixo? [Tarde]","Com que frequência você sai nos períodos indicados abaixo? [Noite]"
"2020/06/09 9:34:37 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","4","5","4","3","5","5","3","2-3x por semana","1x por semana","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 9:34:39 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","1","3","5","5","2","5","5","2","Raramente","Raramente","1x por mês","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/09 9:34:54 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","4","2","5","4","4","5","1","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 9:36:31 PM GMT-3","Até 17 anos","Ensino Médio completo","Solteiro(a)","5","3","4","5","5","5","5","5","Raramente","Raramente","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana"
"2020/06/09 9:40:07 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","4","3","5","4","3","5","2","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","1x por semana"
"2020/06/09 9:41:52 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","4","3","2","5","5","5","5","2","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/09 9:42:35 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","2","2","3","3","3","4","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/09 9:47:13 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","2","2","3","5","5","4","4","3","Raramente","Raramente","1x por mês","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","1x por mês"
"2020/06/09 9:50:50 PM GMT-3","Até 17 anos","Ensino Fundamental ou menos","Solteiro(a)","1","3","5","4","3","5","4","3","Raramente","Raramente","Raramente","1x por semana","1x por mês","2-3x por semana","1x por semana","Raramente"
"2020/06/09 9:50:56 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","1","5","5","5","5","5","3","Raramente","1x por mês","2-3x por semana","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","Raramente"
"2020/06/09 9:51:42 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","5","2","4","4","5","5","2","Raramente","Raramente","Raramente","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/09 9:52:06 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","4","3","5","3","5","5","3","Raramente","Raramente","1x por mês","1x por semana","Raramente","4x por semana ou mais","1x por semana","1x por semana"
"2020/06/09 9:52:53 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","3","3","5","3","4","5","3","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 9:58:07 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","2","5","3","4","5","5","5","Raramente","Raramente","1x por mês","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","1x por mês"
"2020/06/09 10:01:28 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","5","2","5","1","4","5","4","Raramente","4x por semana ou mais","Raramente","1x por semana","Raramente","4x por semana ou mais","2-3x por semana","1x por mês"
"2020/06/09 10:01:53 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","3","2","2","4","3","4","5","2","Raramente","Raramente","Raramente","1x por semana","Raramente","4x por semana ou mais","2-3x por semana","1x por semana"
"2020/06/09 10:04:40 PM GMT-3","De 18 a 24 anos","Ensino Superior completo","Solteiro(a)","3","3","5","4","5","5","5","4","Raramente","1x por mês","4x por semana ou mais","1x por semana","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais"
"2020/06/09 10:04:46 PM GMT-3","Até 17 anos","Ensino Fundamental ou menos","Solteiro(a)","5","4","5","4","4","5","5","3","Raramente","Raramente","Raramente","2-3x por semana","1x por semana","4x por semana ou mais","2-3x por semana","1x por mês"
"2020/06/09 10:05:23 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","1","1","4","5","3","4","2","Raramente","Raramente","1x por mês","Raramente","1x por mês","1x por semana","1x por semana","1x por semana"
"2020/06/09 10:07:20 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","2","5","5","4","3","3","5","3","Raramente","Raramente","Raramente","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana"
"2020/06/09 10:12:10 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","1","3","5","3","5","5","5","3","Raramente","1x por mês","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/09 10:14:03 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","5","4","3","3","4","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","1x por mês"
"2020/06/09 10:16:36 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","3","2","5","5","4","5","5","3","Raramente","Raramente","Raramente","1x por mês","Raramente","Raramente","2-3x por semana","Raramente"
"2020/06/09 10:18:02 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","5","5","5","3","5","5","4","Raramente","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/09 10:22:11 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","4","3","3","5","4","5","5","5","Raramente","Raramente","1x por mês","1x por mês","Raramente","1x por mês","1x por mês","Raramente"
"2020/06/09 10:24:28 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","2","3","4","4","4","4","5","3","Raramente","1x por mês","1x por semana","2-3x por semana","Raramente","Raramente","2-3x por semana","1x por semana"
"2020/06/09 10:24:52 PM GMT-3","De 36 a 50 anos","Pós-graduação","Solteiro(a)","5","4","3","3","4","3","3","4","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","Raramente","Raramente"
"2020/06/09 10:25:29 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","3","5","4","4","5","5","4","Raramente","Raramente","4x por semana ou mais","1x por mês","Raramente","4x por semana ou mais","1x por mês","1x por mês"
"2020/06/09 10:28:37 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","4","3","3","3","3","2","5","2","Raramente","Raramente","Raramente","Raramente","Raramente","4x por semana ou mais","2-3x por semana","1x por semana"
"2020/06/09 10:35:55 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","5","3","3","4","3","5","5","5","Raramente","Raramente","2-3x por semana","2-3x por semana","2-3x por semana","2-3x por semana","2-3x por semana","2-3x por semana"
"2020/06/09 10:37:43 PM GMT-3","De 18 a 24 anos","Ensino Médio incompleto","Solteiro(a)","3","5","5","3","3","5","5","1","Raramente","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana","4x por semana ou mais","2-3x por semana"
"2020/06/09 10:40:18 PM GMT-3","De 36 a 50 anos","Ensino Médio completo","Divorciado(a)","5","3","4","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","2-3x por semana","1x por mês","1x por mês"
"2020/06/09 10:43:12 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","3","3","3","4","3","5","5","4","Raramente","Raramente","Raramente","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","1x por mês"
"2020/06/09 10:47:24 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","5","1","4","5","5","5","5","5","Raramente","Raramente","Raramente","1x por semana","Raramente","1x por mês","1x por semana","Raramente"
"2020/06/09 10:47:54 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","1","3","5","5","4","5","5","3","Raramente","Raramente","4x por semana ou mais","2-3x por semana","Raramente","Raramente","2-3x por semana","1x por semana"
"2020/06/09 10:49:05 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","1","5","5","4","3","5","5","5","Raramente","Raramente","Raramente","1x por semana","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/09 10:49:17 PM GMT-3","Até 17 anos","Ensino Fundamental ou menos","Casado(a)","5","4","5","5","5","5","5","5","Raramente","Raramente","Raramente","2-3x por semana","Raramente","2-3x por semana","1x por mês","2-3x por semana"
"2020/06/09 10:49:24 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","1","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","Raramente"
"2020/06/09 10:55:35 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","1","3","4","4","3","2","4","4","1x por semana","Raramente","2-3x por semana","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 11:07:44 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","4","4","5","5","5","5","4","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente"
"2020/06/09 11:10:58 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","5","3","4","5","5","5","5","5","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","Raramente","Raramente","4x por semana ou mais"
"2020/06/09 11:25:52 PM GMT-3","Até 17 anos","Ensino Superior incompleto","Solteiro(a)","2","3","5","2","4","5","5","2","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana"
"2020/06/09 11:30:14 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","2","4","5","3","4","5","5","Raramente","Raramente","Raramente","1x por semana","Raramente","1x por semana","1x por mês","1x por mês"
"2020/06/09 11:46:45 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","3","4","5","4","4","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","1x por semana"
"2020/06/10 12:11:01 AM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","1","4","5","5","3","4","5","5","Raramente","Raramente","Raramente","1x por mês","Raramente","Raramente","1x por semana","1x por semana"
"2020/06/10 12:13:48 AM GMT-3","Até 17 anos","Ensino Médio completo","Solteiro(a)","5","3","5","5","5","5","5","3","1x por mês","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/10 12:14:00 AM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","2","3","3","5","4","5","4","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/10 12:31:27 AM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","2","3","4","4","4","4","5","3","Raramente","1x por mês","1x por semana","2-3x por semana","Raramente","Raramente","2-3x por semana","1x por semana"
"2020/06/10 12:43:24 AM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","1","3","4","1","1","4","4","2","Raramente","1x por semana","1x por semana","1x por semana","Raramente","Raramente","Raramente","1x por semana"
"2020/06/10 12:57:10 AM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","2","4","4","3","5","5","5","2","Raramente","Raramente","2-3x por semana","2-3x por semana","Raramente","4x por semana ou mais","Raramente","1x por semana"
"2020/06/10 12:59:00 AM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","2","4","5","5","5","5","5","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","1x por semana"
"2020/06/10 1:03:03 AM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","1","3","5","5","5","3","5","2","Raramente","Raramente","Raramente","1x por semana","1x por semana","Raramente","1x por semana","1x por semana"
"2020/06/10 1:18:24 AM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","4","4","4","5","3","4","5","4","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","1x por mês","1x por mês","4x por semana ou mais","2-3x por semana"
"2020/06/10 1:40:24 AM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","4","3","2","5","5","5","5","2","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/10 1:49:23 AM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","3","5","5","5","5","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","1x por mês","1x por semana","2-3x por semana"
"2020/06/10 2:01:21 AM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","3","4","5","4","3","5","3","1x por mês","1x por mês","2-3x por semana","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana"
"2020/06/10 2:39:44 AM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","5","3","5","2","4","4","5","5","Raramente","Raramente","1x por mês","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","1x por mês"
"2020/06/10 4:32:57 AM GMT-3","De 36 a 50 anos","Pós-graduação","Solteiro(a)","5","4","3","3","4","3","3","4","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","Raramente","Raramente"
"2020/06/10 7:33:45 AM GMT-3","De 25 a 35 anos","Pós-graduação","Solteiro(a)","5","4","2","5","4","5","5","3","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","1x por semana","2-3x por semana"
"2020/06/10 8:35:20 AM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","5","4","5","5","5","5","4","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 8:49:29 AM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","4","5","5","1","5","5","3","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","2-3x por semana"
"2020/06/10 9:40:50 AM GMT-3","A partir de 51 anos","Ensino Médio completo","Viúvo(a)","5","1","4","3","3","1","4","4","Raramente","1x por mês","1x por semana","1x por mês","1x por semana","1x por semana","1x por semana","1x por semana"
"2020/06/10 10:45:53 AM GMT-3","De 18 a 24 anos","Ensino Superior completo","Solteiro(a)","3","4","5","3","2","5","5","5","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","1x por semana","4x por semana ou mais","1x por semana","4x por semana ou mais"
"2020/06/10 10:52:39 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","5","4","4","5","5","4","5","4","2-3x por semana","2-3x por semana","2-3x por semana","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/10 10:53:01 AM GMT-3","De 25 a 35 anos","Ensino Superior incompleto","Casado(a)","1","2","2","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 10:55:58 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Solteiro(a)","1","5","3","3","2","4","5","4","Raramente","1x por mês","Raramente","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 10:56:22 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","1","5","5","5","5","3","Raramente","Raramente","Raramente","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 11:00:50 AM GMT-3","De 25 a 35 anos","Pós-graduação","Casado(a)","5","4","2","4","2","4","5","3","Raramente","Raramente","Raramente","1x por mês","Raramente","4x por semana ou mais","2-3x por semana","1x por mês"
"2020/06/10 11:01:19 AM GMT-3","A partir de 51 anos","Pós-graduação","Casado(a)","5","5","3","4","3","5","5","5","Raramente","Raramente","1x por mês","1x por semana","1x por mês","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/10 11:01:55 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","5","3","4","3","3","5","5","4","Raramente","Raramente","Raramente","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 11:01:56 AM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","3","1","4","4","5","5","4","Raramente","1x por mês","Raramente","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","Raramente"
"2020/06/10 11:02:20 AM GMT-3","De 25 a 35 anos","Pós-graduação","Solteiro(a)","3","4","5","5","5","4","5","4","Raramente","Raramente","Raramente","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/10 11:03:12 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Solteiro(a)","5","4","5","4","3","3","5","3","Raramente","Raramente","1x por semana","1x por mês","Raramente","1x por semana","1x por semana","Raramente"
"2020/06/10 11:03:33 AM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","3","2","4","4","4","5","4","Raramente","1x por mês","1x por mês","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/10 11:04:12 AM GMT-3","A partir de 51 anos","Ensino Superior incompleto","Casado(a)","5","3","3","5","5","5","5","5","Raramente","Raramente","Raramente","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 11:05:31 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","5","2","1","5","5","5","5","5","Raramente","Raramente","Raramente","Raramente","Raramente","4x por semana ou mais","2-3x por semana","4x por semana ou mais"
"2020/06/10 11:05:44 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Divorciado(a)","5","3","5","1","2","5","4","2","Raramente","Raramente","1x por mês","1x por mês","Raramente","1x por semana","1x por mês","Raramente"
"2020/06/10 11:05:48 AM GMT-3","A partir de 51 anos","Pós-graduação","Divorciado(a)","4","4","5","5","5","5","5","5","1x por semana","1x por semana","Raramente","1x por semana","Raramente","2-3x por semana","2-3x por semana","4x por semana ou mais"
"2020/06/10 11:07:42 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","2","3","4","5","5","5","5","5","Raramente","Raramente","Raramente","2-3x por semana","1x por semana","Raramente","2-3x por semana","1x por semana"
"2020/06/10 11:11:18 AM GMT-3","A partir de 51 anos","Ensino Superior incompleto","Casado(a)","3","3","3","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 11:12:52 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","4","5","4","4","5","5","Raramente","Raramente","Raramente","1x por semana","Raramente","2-3x por semana","1x por semana","2-3x por semana"
"2020/06/10 11:13:44 AM GMT-3","A partir de 51 anos","Ensino Superior completo","Casado(a)","5","3","4","5","4","5","5","5","Raramente","Raramente","Raramente","Raramente","Raramente","1x por semana","1x por semana","Raramente"
"2020/06/10 11:13:52 AM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","4","5","5","4","5","5","4","Raramente","Raramente","1x por semana","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana"
"2020/06/10 11:15:58 AM GMT-3","De 25 a 35 anos","Pós-graduação","Casado(a)","5","3","1","5","5","5","5","5","Raramente","Raramente","Raramente","1x por mês","Raramente","2-3x por semana","Raramente","2-3x por semana"
"2020/06/10 11:16:39 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","1","5","2","3","4","5","5","3","Raramente","Raramente","Raramente","1x por mês","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 11:16:51 AM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","2","3","2","3","3","4","4","4","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","1x por mês"
"2020/06/10 11:17:46 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","1","1","5","5","5","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/10 11:25:19 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","4","3","4","5","5","5","5","5","Raramente","Raramente","Raramente","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/10 11:28:53 AM GMT-3","De 36 a 50 anos","Ensino Médio completo","Divorciado(a)","3","3","3","3","3","5","5","5","Raramente","Raramente","4x por semana ou mais","1x por semana","Raramente","4x por semana ou mais","2-3x por semana","Raramente"
"2020/06/10 11:28:59 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","1","3","3","3","3","3","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 11:35:35 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","5","3","5","5","5","5","Raramente","Raramente","Raramente","1x por mês","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/10 11:39:26 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","1","3","3","3","3","3","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 11:40:40 AM GMT-3","A partir de 51 anos","Ensino Médio incompleto","Casado(a)","5","4","5","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","1x por semana"
"2020/06/10 11:51:55 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","3","4","4","5","5","4","4","3","1x por semana","1x por semana","Raramente","2-3x por semana","Raramente","1x por mês","2-3x por semana","Raramente"
"2020/06/10 11:53:54 AM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","3","3","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","1x por mês","1x por mês","1x por mês"
"2020/06/10 11:58:32 AM GMT-3","A partir de 51 anos","Ensino Superior incompleto","Viúvo(a)","5","3","5","3","3","3","5","3","Raramente","Raramente","Raramente","1x por semana","Raramente","1x por semana","1x por semana","1x por mês"
"2020/06/10 12:03:40 PM GMT-3","A partir de 51 anos","Ensino Superior incompleto","Casado(a)","5","3","3","5","4","5","5","4","Raramente","Raramente","Raramente","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/10 12:05:49 PM GMT-3","De 25 a 35 anos","Pós-graduação","Casado(a)","4","3","5","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 12:06:23 PM GMT-3","A partir de 51 anos","Ensino Superior incompleto","Casado(a)","5","4","3","5","4","5","5","4","Raramente","Raramente","Raramente","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/10 12:07:07 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","4","3","5","4","4","4","5","5","Raramente","Raramente","Raramente","1x por mês","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/10 12:07:27 PM GMT-3","De 36 a 50 anos","Ensino Superior incompleto","Divorciado(a)","5","4","5","3","3","5","5","5","Raramente","Raramente","Raramente","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 12:23:43 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","5","5","5","5","5","5","5","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente"
"2020/06/10 12:28:34 PM GMT-3","De 36 a 50 anos","Ensino Médio completo","Solteiro(a)","1","3","4","3","4","5","5","5","Raramente","Raramente","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","Raramente","Raramente"
"2020/06/10 12:36:31 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","3","4","3","3","5","5","3","1x por semana","Raramente","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana"
"2020/06/10 12:55:29 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","4","3","3","4","4","4","5","4","Raramente","Raramente","1x por semana","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","1x por semana","Raramente"
"2020/06/10 1:21:02 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","5","4","5","3","4","4","5","4","Raramente","Raramente","Raramente","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 1:23:43 PM GMT-3","De 36 a 50 anos","Pós-graduação","Solteiro(a)","5","5","5","5","5","5","5","5","Raramente","Raramente","Raramente","2-3x por semana","2-3x por semana","4x por semana ou mais","1x por semana","1x por semana"
"2020/06/10 1:24:13 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","1","5","5","5","5","3","Raramente","Raramente","Raramente","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 1:33:19 PM GMT-3","A partir de 51 anos","Ensino Médio completo","Casado(a)","5","3","5","3","5","3","4","4","Raramente","Raramente","Raramente","Raramente","Raramente","2-3x por semana","2-3x por semana","1x por mês"
"2020/06/10 1:39:34 PM GMT-3","De 36 a 50 anos","Ensino Médio completo","Casado(a)","5","5","2","5","5","5","5","5","1x por mês","1x por mês","Raramente","Raramente","Raramente","1x por semana","1x por semana","1x por semana"
